date,open,high,low,volume,close,direction
13-08-2008,249.179321,250.143066,245.344269,7298100,248.399399,0
14-08-2008,247.241928,252.164917,246.541489,5875100,251.111755,1
15-08-2008,251.856918,253.680054,251.11673,7137300,253.426697,1
18-08-2008,253.272705,253.352188,246.154007,6711100,247.539993,0
19-08-2008,243.630417,247.53006,241.742691,6132500,243.665192,0
20-08-2008,245.761551,246.740189,239.725815,8015800,240.932968,0
21-08-2008,239.899689,243.367126,238.086472,7073900,241.693024,1
22-08-2008,244.161957,245.841034,243.158493,4624200,243.7099,1
25-08-2008,241.484375,246.894196,239.194275,4054700,239.944397,0
26-08-2008,240.167938,240.167938,233.774521,6659300,235.547989,0
27-08-2008,235.334381,235.880829,230.918106,8831200,232.776016,0
28-08-2008,234.718384,236.685593,233.645355,6098700,235.359222,1
29-08-2008,233.357239,233.98317,229.671204,7746300,230.148102,0
02-09-2008,236.844559,239.532074,229.219147,12302400,231.12178,1
03-09-2008,232.850525,235.612564,228.305099,8685300,230.704483,0
